url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Loại card đồ họa,Loại RAM,Số khe ram,Ổ cứng,CPU,VGA,RAM,Hệ điều hành,Cổng I/O mặt sau,Loại CPU,Dung lượng RAM,Cổng giao tiếp,SSD,Mainboard,Socket,Chipset (PC lắp ráp),Màn hình,Tản nhiệt,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình
https://cellphones.com.vn/pc-cps-creator-ultra-ai-a950.html,PC CPS Creator Ultra AI A950 AMD Ryzen 9 9950X3D / RTX 5070 Ti,Hãng khác,Liên hệ,PC.CPS.123,"Mua PC CPS Creator Ultra AI A950 AMD Ryzen 9 9950X / RTX 5070 Ti chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,CPU AMD Ryzen 9 9950X3D,VGA MSI Geforce RTX 5070 Ti 16G Ventus 3X OC,PC Kingston Fury Beast RGB DDR5 5600MHz 64GB (2x32GB),,,,64GB,,SSD Kingston SKC3000 M.2 PCIe Gen 4 NVMe 1TB (SN),Mainboard Asrock X870 Pro RS Wifi D5,,X670E,,Tản Nhiệt Nước Corsair iCUE Link Titan 360 RX RGB Đen Fan Case Corsair RS120 ARGB Black (3 Pack),,,
https://cellphones.com.vn/pc-cps-van-phong-s4.html,PC CPS văn phòng S04 i5 12500 / 8GB - 256GB,Hãng khác,Liên hệ,PC.VP.04,"Mua ngay PC CPS văn phòng S04 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU Intel Core i5-12500,Onboard,Ram PC VSP DDR4 3200MHZ 8GB (1*8GB),,,,8GB,,Ổ cứng SSD VSP 860G SATA III 2.5&quot; 256GB,Mainboard ASRock H610M-HVS/M.2 R2.0,LGA 1700,H610M,,,,,
https://cellphones.com.vn/pc-cps-gaming-g5.html,PC CPS Gaming G05 i3 12100F / 8GB - 256GB / RX 7600,Hãng khác,Liên hệ,PC.GM.05,"Mua ngayPC CPS Gaming G5 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i3-12100F,VGA Asus Phoenix Radeon RX 7600 OC 8GB DUAL-RX7600-O8G-EVO,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,,,16GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI Pro H610M-S DDR4,LGA 1700,H610M,,,,,
https://cellphones.com.vn/pc-cps-do-hoa-d4.html,PC CPS Đồ Hoạ D04 i7 14700F / 16GB - 512GB / RTX 5060,Hãng khác,Liên hệ,PC.DH.04,"Mua ngay PC CPS đồ họa D4 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i7-14700F,VGA MSI Geforce RTX 5060 8GB Shadow 2X OC,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,,,,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 512GB,Mainboard MSI PRO B760M-A WIFI DDR4,LGA 1700,B760M,,"Tản nhiệt nước Xigmatek Fenix II 240 x3 Quạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/pc-cps-msi-gaming-intel-i3-gen-12.html,PC CPS X MSI Gaming Intel i3 Gen 12 Kèm màn hình,MSI,Liên hệ,PC.CPS.92,"Mua ngay PC CPS X MSI Gaming Intel i3 Gen 12 Kèm màn hình giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i3 12100F,MSI GeForce RTX 3050 VENTUS 2X 6G OC,RAM PC ADATA XPG D50 RGB 8GB (1x8GB) 3200MHz DDR4,,,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,MAINBOARD MSI PRO H610M-S DDR4,,H610M,Màn hình MSI Pro MP243L E14 24 inch (FHD/IPS/144HZ/1MS),,,,
https://cellphones.com.vn/pc-cps-gaming-g11.html,PC CPS Gaming G11 i3 12100F / 8GB - 256GB / RTX 3050,intel,Liên hệ,PC.GM.11,"Mua ngay PC CPS Gaming G11 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Geforce RTX 3050,1 x 8GB DDR4 3200MHz,2 x DDR4,SSD 256GB M2 PCIe,Intel Core i3-12100F,Geforce RTX 3050,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,HDMIVGABàn phím / ChuộtUSB 3.2 Gen 1 5Gbps Type-ALANAudio connectorUSB 2.0,Intel Core i3-12100F,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI Pro H610M-S DDR4,LGA 1700,H610M,,,,,
https://cellphones.com.vn/pc-cps-creator-pro-146.html,PC CPS Creator Pro 146 i5-14600K / RX 7600,intel,Liên hệ,PC.CPS.116,"Mua PC CPS Creator Pro 146 i5-14600K / RTX 3060 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,CPU Intel Core i5 14600K (Tray),VGA Asus Phoenix Radeon RX 7600 OC 8GB DUAL-RX7600-O8G-EVO,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,,,16GB,,SSD Adata Legend 860 PCIe Gen4 X4 M.2 2280 (R 6000/W 5000) 500GB,MSI Pro B760M-A WiFi DDR4,,B760M,,"Tản nhiệt khí Xigmatek EPIX IIQuạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/may-tinh-pc-cps-van-phong-s08.html,PC CPS văn phòng S08 i7 14700 / 16GB - 256GB,intel,Liên hệ,PC.VP.08,"Mua ngay PC CPS văn phòng S08 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU Intel Core i7 14700,Onboard ,Ram PC Kingston Fury Beast DDR4 3200MHz 16GB KF432C16BB1/16WP,,,,16GB,,Ổ cứng SSD VSP 860G SATA III 2.5&quot; 256GB,Mainboard MSI Pro B760M-E DDR4,LGA 1700,B760M,,,,,
https://cellphones.com.vn/pc-cps-gaming-amd-r566-kem-man-hinh.html,PC CPS Gaming AMD R566 kèm màn hình,Hãng khác,Liên hệ,PC.CPS.139,"Mua PC CPS Gaming AMD R566 kèm màn hình chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,AMD Ryzen 5 5500,VGA MSI Geforce RTX 3050 Ventus 2X E 6G OC,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,MSI B450M-A PRO MAX II,,B450M,Màn hình MSI Pro MP243L E14 24 inch (FHD/IPS/144HZ/1MS),,,,
https://cellphones.com.vn/may-tinh-aio-asus-vm640ga-wpc010w.html,Máy tính AIO ASUS VM640GA-WPC010W,ASUS,Liên hệ,may-tinh-aio-asus-vm640ga-wpc010w,"Mua Máy tính AIO ASUS VM640GA-WPC010W chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",AMD Radeon 840M,DDR5 SO-DIMM,"2 x SO-DIMM, up to 64GB",512GB SSD M.2 NVMe PCIe 4.0 SSD,,,,Windows 11 Home,,"AMD Ryzen AI 7 445 (2.0 GHz - 4.6GHz / 14MB / 6 nhân, 12 luồng)",16GB,Mặt Sau:3 x USB-A 3.2 Gen 11 x USB-C 3.2 Gen 11 x HDMI 2.1b1 x HDMI in 1.41 x RJ45 Gigabit Ethernet1 x Nguồn vào DCMặt Bên:1 x Kensington lock1 x 3.5mm combo audio jack1 x USB-A 2.0,,,,,,,23.8 inches,16:9Tầm nhìn rộngChống chói loáLED BacklitĐộ sáng 250nits100% sRGBScreen-to-body ratio 93%,1080 x 1920 pixels (FullHD)
